OBJECTID,Geography ID,Geography Type,Name,perc_safe_play_places,safe_play_Lower 95% Confidence Limit,safe_play_Upper 95% Confidence Limit,safe_play_Relative Standard Error,safe_play_Estimation Method,safe_play_Shape__Area,safe_play_Shape__Length,le_at_birth,le_Lower 95% Confidence Limit,le_Upper 95% Confidence Limit,le_Relative Standard Error,le_Shape__Area,le_Shape__Length,"crime_Serious Violent Crimes (per 100,000 Population), 2022","crime_Lower 95% Confidence Limit, 2022","crime_Upper 95% Confidence Limit, 2022","crime_Relative Standard Error, 2022",crime,"crime_Lower 95% Confidence Limit, 2018-2022","crime_Upper 95% Confidence Limit, 2018-2022","crime_Relative Standard Error, 2018-2022",crime_Shape__Area,crime_Shape__Length,median_income,income_Lower 95% Confidence Limit,income_Upper 95% Confidence Limit,income_Relative Standard Error,income_Shape__Area,income_Shape__Length,safe_play_deviation,le_deviation,income_deviation,crime_deviation
1,csa_city_agoura_hills,Incorporated City,City of Agoura Hills,,,,,,217931682.6,80376.21069,,,,,217931682.6,80376.21069,,,,,,,,,217931682.6,80376.21069,,,,,217931682.6,80376.21069,,,,
2,csa_city_alhambra,Incorporated City,City of Alhambra,92.2,89.9,94.4,1.2,small area estimate,212764011.3,69016.50152,84.2,83.1,85.3,0.7,212764011.3,69016.50152,,,,,206.0,175.1,236.8,7.6,212764011.3,69016.50152,80234.0,75903.0,84565.0,2.8,212764011.3,69016.50152,5.3421052631579045,3.4666666666666686,-11633.697368421053,-133.9657894736842
3,csa_city_arcadia,Incorporated City,City of Arcadia,93.4,91.5,95.3,1.1,small area estimate,309696288.9,132149.4016,84.0,83.0,85.0,0.6,309696288.9,132149.4016,,,,,179.9,145.0,214.8,9.9,309696288.9,132149.4016,108214.0,101699.0,114729.0,3.1,309696288.9,132149.4016,6.542105263157907,3.2666666666666657,16346.302631578947,-160.0657894736842
4,csa_city_artesia,Incorporated City,City of Artesia,,,,,,45210326.13,40904.97066,,,,,45210326.13,40904.97066,,,,,,,,,45210326.13,40904.97066,,,,,45210326.13,40904.97066,,,,
5,csa_city_azusa,Incorporated City,City of Azusa,83.5,79.8,87.3,2.3,small area estimate,269205013.0,158881.6016,80.5,78.8,82.3,1.1,269205013.0,158881.6016,,,,,318.1,268.8,367.4,7.9,269205013.0,158881.6016,81516.0,75615.0,87417.0,3.7,269205013.0,158881.6016,-3.3578947368420984,-0.23333333333333428,-10351.697368421053,-21.865789473684174
6,csa_city_baldwin_park,Incorporated City,City of Baldwin Park,84.4,81.3,87.6,1.9,small area estimate,188966247.6,87241.43274,79.3,78.1,80.5,0.8,188966247.6,87241.43274,,,,,333.6,291.4,375.8,6.4,188966247.6,87241.43274,76002.0,71316.0,80688.0,3.1,188966247.6,87241.43274,-2.4578947368420927,-1.4333333333333371,-15865.697368421053,-6.365789473684174
7,csa_city_bell,Incorporated City,City of Bell,77.9,72.6,83.2,3.4,small area estimate,72979028.15,65552.38876,79.0,76.6,81.3,1.5,72979028.15,65552.38876,,,,,563.4,482.9,643.8,7.3,72979028.15,65552.38876,56685.0,52385.0,60985.0,3.9,72979028.15,65552.38876,-8.957894736842093,-1.7333333333333343,-35182.69736842105,223.43421052631578
8,csa_city_bell_gardens,Incorporated City,City of Bell Gardens,77.8,72.5,83.0,3.4,small area estimate,68721941.47,38937.42079,79.9,77.8,82.0,1.4,68721941.47,38937.42079,,,,,354.5,295.7,413.3,8.5,68721941.47,38937.42079,53935.0,49355.0,58515.0,4.3,68721941.47,38937.42079,-9.057894736842101,-0.8333333333333286,-37932.69736842105,14.534210526315803
9,csa_city_bellflower,Incorporated City,City of Bellflower,89.8,87.3,92.3,1.4,small area estimate,172370845.9,59306.64522,79.5,78.2,80.8,0.8,172370845.9,59306.64522,,,,,415.7,370.7,460.6,5.5,172370845.9,59306.64522,75379.0,71243.0,79515.0,2.8,172370845.9,59306.64522,2.9421052631578988,-1.2333333333333343,-16488.697368421053,75.73421052631579
10,csa_city_beverly_hills,Incorporated City,City of Beverly Hills,91.5,88.6,94.5,1.7,small area estimate,159282318.8,86925.77458,84.6,83.1,86.0,0.9,159282318.8,86925.77458,,,,,374.5,308.2,440.8,9.0,159282318.8,86925.77458,116771.0,103698.0,129844.0,5.7,159282318.8,86925.77458,4.642105263157902,3.86666666666666,24903.302631578947,34.5342105263158
11,csa_city_burbank,Incorporated City,City of Burbank,89.9,87.6,92.3,1.3,small area estimate,483502845.6,102151.3967,81.0,80.2,81.8,0.5,483502845.6,102151.3967,,,,,211.0,183.6,238.5,6.6,483502845.6,102151.3967,91455.0,85918.0,96992.0,3.1,483502845.6,102151.3967,3.0421052631579073,0.2666666666666657,-412.6973684210534,-128.9657894736842
12,csa_city_calabasas,Incorporated City,City of Calabasas,92.8,90.3,95.3,1.4,small area estimate,383613659.7,149118.5929,84.2,82.2,86.2,1.2,383613659.7,149118.5929,,,,,121.3,76.5,166.1,18.8,383613659.7,149118.5929,154079.0,137341.0,170817.0,5.5,383613659.7,149118.5929,5.942105263157899,3.4666666666666686,62211.30263157895,-218.66578947368419
13,csa_city_carson,Incorporated City,City of Carson,86.1,82.5,89.8,2.2,small area estimate,528030737.8,127677.5113,80.2,79.2,81.2,0.6,528030737.8,127677.5113,,,,,366.0,327.6,404.3,5.3,528030737.8,127677.5113,103045.0,97671.0,108419.0,2.7,528030737.8,127677.5113,-0.7578947368421041,-0.5333333333333314,11177.302631578947,26.034210526315803
14,csa_city_cerritos,Incorporated City,City of Cerritos,96.6,95.3,97.9,0.7,small area estimate,246787948.4,119808.8683,82.8,81.4,84.1,0.8,246787948.4,119808.8683,,,,,253.2,209.0,297.5,8.9,246787948.4,119808.8683,124460.0,119272.0,129648.0,2.1,246787948.4,119808.8683,9.742105263157896,2.066666666666663,32592.302631578947,-86.76578947368421
15,csa_city_claremont,Incorporated City,City of Claremont,92.2,90.3,94.2,1.1,small area estimate,375456745.8,150112.2043,81.7,80.4,82.9,0.8,375456745.8,150112.2043,,,,,178.0,135.2,220.9,12.3,375456745.8,150112.2043,115091.0,104620.0,125562.0,4.6,375456745.8,150112.2043,5.3421052631579045,0.9666666666666686,23223.302631578947,-161.9657894736842
16,csa_city_commerce,Incorporated City,City of Commerce,,,,,,182719725.1,93390.81229,,,,,182719725.1,93390.81229,,,,,,,,,182719725.1,93390.81229,,,,,182719725.1,93390.81229,,,,
17,csa_city_compton,Incorporated City,City of Compton,63.2,57.8,68.6,4.4,small area estimate,281590253.8,178008.1025,75.2,74.2,76.2,0.7,281590253.8,178008.1025,,,,,1097.5,1031.1,1163.8,3.1,281590253.8,178008.1025,69728.0,65633.0,73823.0,3.0,281590253.8,178008.1025,-23.657894736842096,-5.533333333333331,-22139.697368421053,757.5342105263157
18,csa_city_covina,Incorporated City,City of Covina,87.3,84.6,90.0,1.6,small area estimate,196344691.9,186251.1347,79.3,77.9,80.7,0.9,196344691.9,186251.1347,,,,,339.6,289.1,390.0,7.6,196344691.9,186251.1347,89650.0,84156.0,95144.0,3.1,196344691.9,186251.1347,0.4421052631578988,-1.4333333333333371,-2217.6973684210534,-0.365789473684174
19,csa_city_cudahy,Incorporated City,City of Cudahy,77.8,72.6,83.1,3.4,small area estimate,34266752.81,33729.83524,,,,,34266752.81,33729.83524,,,,,380.6,300.6,460.6,10.7,34266752.81,33729.83524,49596.0,43528.0,55664.0,6.2,34266752.81,33729.83524,-9.057894736842101,,-42271.69736842105,40.634210526315826
20,csa_city_culver_city,Incorporated City,City of Culver City,89.9,86.8,93.1,1.8,small area estimate,143147615.0,116908.9706,84.0,82.6,85.4,0.8,143147615.0,116908.9706,,,,,545.0,473.3,616.6,6.7,143147615.0,116908.9706,114429.0,103053.0,125805.0,5.1,143147615.0,116908.9706,3.0421052631579073,3.2666666666666657,22561.302631578947,205.0342105263158
21,csa_city_downey,Incorporated City,City of Downey,91.8,89.8,93.9,1.1,small area estimate,350371541.5,90498.33661,80.1,79.2,81.1,0.6,350371541.5,90498.33661,,,,,331.0,297.6,364.4,5.1,350371541.5,90498.33661,84236.0,80312.0,88160.0,2.4,350371541.5,90498.33661,4.942105263157899,-0.63333333333334,-7631.697368421053,-8.965789473684197
22,csa_city_duarte,Incorporated City,City of Duarte,83.6,79.9,87.3,2.2,small area estimate,186485252.1,111724.0166,82.0,80.1,84.0,1.2,186485252.1,111724.0166,,,,,258.9,191.3,326.4,13.3,186485252.1,111724.0166,93908.0,84082.0,103734.0,5.3,186485252.1,111724.0166,-3.257894736842104,1.2666666666666657,2040.3026315789466,-81.06578947368422
23,csa_city_el_monte,Incorporated City,City of El Monte,83.1,79.1,87.1,2.5,small area estimate,268040254.8,106711.5494,79.7,78.8,80.7,0.6,268040254.8,106711.5494,,,,,321.9,288.2,355.6,5.3,268040254.8,106711.5494,59929.0,57025.0,62833.0,2.5,268040254.8,106711.5494,-3.757894736842104,-1.0333333333333314,-31938.697368421053,-18.06578947368422
24,csa_city_el_segundo,Incorporated City,City of El Segundo,,,,,,151854294.4,58347.6117,,,,,151854294.4,58347.6117,,,,,,,,,151854294.4,58347.6117,,,,,151854294.4,58347.6117,,,,
25,csa_city_gardena,Incorporated City,City of Gardena,85.8,82.3,89.4,2.1,small area estimate,163264681.8,65932.3951,79.9,78.4,81.4,0.9,163264681.8,65932.3951,,,,,533.6,475.6,591.5,5.5,163264681.8,65932.3951,75443.0,71357.0,79529.0,2.8,163264681.8,65932.3951,-1.0578947368421012,-0.8333333333333286,-16424.697368421053,193.63421052631583
26,csa_city_glendale,Incorporated City,City of Glendale,89.7,86.3,93.1,2.0,small area estimate,853230755.4,190271.3439,82.4,81.8,83.1,0.4,853230755.4,190271.3439,,,,,116.1,101.0,131.1,6.6,853230755.4,190271.3439,81219.0,78707.0,83731.0,1.6,853230755.4,190271.3439,2.8421052631579045,1.6666666666666714,-10648.697368421053,-223.8657894736842
27,csa_city_glendora,Incorporated City,City of Glendora,90.7,88.7,92.8,1.2,small area estimate,547642777.5,165505.6707,79.0,77.6,80.3,0.9,547642777.5,165505.6707,,,,,240.9,198.9,282.9,8.9,547642777.5,165505.6707,106718.0,97358.0,116078.0,4.5,547642777.5,165505.6707,3.8421052631579045,-1.7333333333333343,14850.302631578947,-99.06578947368419
28,csa_city_hawaiian_gardens,Incorporated City,City of Hawaiian Gardens,,,,,,26648816.54,25783.87946,,,,,26648816.54,25783.87946,,,,,,,,,26648816.54,25783.87946,,,,,26648816.54,25783.87946,,,,
29,csa_city_hawthorne,Incorporated City,City of Hawthorne,83.7,80.0,87.4,2.2,small area estimate,169585593.3,110192.6646,81.3,79.8,82.8,1.0,169585593.3,110192.6646,,,,,761.0,703.4,818.5,3.9,169585593.3,110192.6646,72298.0,68704.0,75892.0,2.5,169585593.3,110192.6646,-3.1578947368420955,0.5666666666666629,-19569.697368421053,421.0342105263158
30,csa_city_hermosa_beach,Incorporated City,City of Hermosa Beach,,,,,,41501765.15,29339.61935,,,,,41501765.15,29339.61935,,,,,,,,,41501765.15,29339.61935,,,,,41501765.15,29339.61935,,,,
31,csa_city_hidden_hills,Incorporated City,City of Hidden Hills,,,,,,47048725.83,42751.65466,,,,,47048725.83,42751.65466,,,,,,,,,47048725.83,42751.65466,,,,,47048725.83,42751.65466,,,,
32,csa_city_huntington_park,Incorporated City,City of Huntington Park,81.8,77.7,86.0,2.6,small area estimate,84042752.62,66385.78532,79.8,78.2,81.3,1.0,84042752.62,66385.78532,,,,,776.3,702.6,850.0,4.8,84042752.62,66385.78532,54073.0,49756.0,58390.0,4.1,84042752.62,66385.78532,-5.057894736842101,-0.9333333333333371,-37794.69736842105,436.33421052631576
33,csa_city_industry,Incorporated City,City of Industry,,,,,,335602039.2,366510.3984,,,,,335602039.2,366510.3984,,,,,,,,,335602039.2,366510.3984,,,,,335602039.2,366510.3984,,,,
34,csa_city_inglewood,Incorporated City,City of Inglewood,76.1,70.7,81.5,3.6,small area estimate,253622393.7,90355.39423,78.5,77.5,79.5,0.6,253622393.7,90355.39423,,,,,634.8,587.3,682.3,3.8,253622393.7,90355.39423,67563.0,64431.0,70695.0,2.4,253622393.7,90355.39423,-10.757894736842104,-2.2333333333333343,-24304.697368421053,294.83421052631576
35,csa_city_irwindale,Incorporated City,City of Irwindale,,,,,,268552437.9,131459.7428,,,,,268552437.9,131459.7428,,,,,,,,,268552437.9,131459.7428,,,,,268552437.9,131459.7428,,,,
36,csa_city_la_canada_flintridge,Incorporated City,City of La Canada Flintridge,,,,,,241080484.8,92225.34708,,,,,241080484.8,92225.34708,,,,,,,,,241080484.8,92225.34708,,,,,241080484.8,92225.34708,,,,
37,csa_city_la_habra_heights,Incorporated City,City of La Habra Heights,,,,,,171717013.6,69877.14729,,,,,171717013.6,69877.14729,,,,,,,,,171717013.6,69877.14729,,,,,171717013.6,69877.14729,,,,
38,csa_city_la_mirada,Incorporated City,City of La Mirada,97.0,95.8,98.2,0.6,small area estimate,218800624.4,79833.82961,81.9,80.6,83.1,0.8,218800624.4,79833.82961,,,,,175.3,137.8,212.7,10.9,218800624.4,79833.82961,104130.0,96789.0,111471.0,3.6,218800624.4,79833.82961,10.142105263157902,1.1666666666666714,12262.302631578947,-164.66578947368419
39,csa_city_la_puente,Incorporated City,City of La Puente,81.2,77.2,85.3,2.6,small area estimate,96842502.29,86971.35744,80.3,78.6,82.1,1.1,96842502.29,86971.35744,,,,,270.1,217.8,322.3,9.9,96842502.29,86971.35744,77702.0,70390.0,85014.0,4.8,96842502.29,86971.35744,-5.6578947368420955,-0.4333333333333371,-14165.697368421053,-69.86578947368417
40,csa_city_la_verne,Incorporated City,City of La Verne,90.0,87.6,92.3,1.3,small area estimate,237606827.3,115480.5915,80.0,78.3,81.6,1.0,237606827.3,115480.5915,,,,,182.1,134.8,229.4,13.2,237606827.3,115480.5915,103816.0,95399.0,112233.0,4.1,237606827.3,115480.5915,3.1421052631579016,-0.7333333333333343,11948.302631578947,-157.8657894736842
41,csa_city_lakewood,Incorporated City,City of Lakewood,95.0,93.5,96.6,0.8,small area estimate,263528890.2,124207.3317,80.6,79.5,81.6,0.7,263528890.2,124207.3317,,,,,261.5,226.6,296.5,6.8,263528890.2,124207.3317,113030.0,109724.0,116336.0,1.5,263528890.2,124207.3317,8.142105263157902,-0.13333333333333997,21162.302631578947,-78.4657894736842
42,csa_city_lancaster,Incorporated City,City of Lancaster,83.4,79.1,87.7,2.6,small area estimate,2635029512.0,678436.6649,74.7,73.9,75.5,0.5,2635029512.0,678436.6649,,,,,604.5,567.9,641.1,3.1,2635029512.0,678436.6649,71367.0,68342.0,74392.0,2.2,2635029512.0,678436.6649,-3.4578947368420927,-6.033333333333331,-20500.697368421053,264.5342105263158
43,csa_city_lawndale,Incorporated City,City of Lawndale,86.3,82.4,90.2,2.3,small area estimate,54863707.07,36899.73042,81.2,79.3,83.2,1.2,54863707.07,36899.73042,,,,,313.2,251.5,374.9,10.1,54863707.07,36899.73042,76213.0,70757.0,81669.0,3.7,54863707.07,36899.73042,-0.5578947368421012,0.46666666666666856,-15654.697368421053,-26.765789473684208
44,csa_city_lomita,Incorporated City,City of Lomita,89.4,86.2,92.7,1.9,small area estimate,53484538.83,44939.42361,78.7,76.6,80.8,1.3,53484538.83,44939.42361,,,,,294.2,220.6,367.8,12.8,53484538.83,44939.42361,87717.0,77589.0,97845.0,5.9,53484538.83,44939.42361,2.5421052631579073,-2.0333333333333314,-4150.697368421053,-45.76578947368421
45,csa_city_long_beach,Incorporated City,City of Long Beach,,,,,,1443459670.0,554574.2116,,,,,1443459670.0,554574.2116,,,,,,,,,1443459670.0,554574.2116,,,,,1443459670.0,554574.2116,,,,
46,csa_city_lynwood,Incorporated City,City of Lynwood,67.3,61.7,72.8,4.2,small area estimate,135007235.5,72152.78279,77.4,75.9,78.8,1.0,135007235.5,72152.78279,,,,,651.4,590.4,712.3,4.8,135007235.5,72152.78279,67350.0,62299.0,72401.0,3.8,135007235.5,72152.78279,-19.5578947368421,-3.3333333333333286,-24517.697368421053,311.4342105263158
47,csa_city_manhattan_beach,Incorporated City,City of Manhattan Beach,96.1,94.3,97.9,0.9,small area estimate,110933646.9,48539.77154,85.2,83.7,86.6,0.9,110933646.9,48539.77154,,,,,154.2,113.4,195.0,13.5,110933646.9,48539.77154,187217.0,170117.0,204317.0,4.7,110933646.9,48539.77154,9.242105263157896,4.466666666666669,95349.30263157895,-185.7657894736842
48,csa_city_maywood,Incorporated City,City of Maywood,85.0,80.7,89.3,2.6,small area estimate,32839986.21,30088.77028,79.7,77.8,81.7,1.3,32839986.21,30088.77028,,,,,314.8,245.4,384.3,11.3,32839986.21,30088.77028,57615.0,49257.0,65973.0,7.4,32839986.21,30088.77028,-1.8578947368420984,-1.0333333333333314,-34252.69736842105,-25.165789473684185
49,csa_city_montebello,Incorporated City,City of Montebello,88.5,85.4,91.6,1.8,small area estimate,233323960.4,99397.63908,79.8,78.5,81.2,0.9,233323960.4,99397.63908,,,,,346.2,300.2,392.2,6.8,233323960.4,99397.63908,72317.0,67475.0,77159.0,3.4,233323960.4,99397.63908,1.6421052631579016,-0.9333333333333371,-19550.697368421053,6.234210526315792
50,csa_city_monterey_park,Incorporated City,City of Monterey Park,93.2,90.8,95.6,1.3,small area estimate,215688665.2,79691.16795,83.6,82.4,84.8,0.7,215688665.2,79691.16795,,,,,205.1,169.2,241.0,8.9,215688665.2,79691.16795,76892.0,70643.0,83141.0,4.1,215688665.2,79691.16795,6.3421052631579045,2.86666666666666,-14975.697368421053,-134.8657894736842
51,csa_city_norwalk,Incorporated City,City of Norwalk,91.6,89.3,93.8,1.2,small area estimate,272018552.8,91643.10103,79.4,78.4,80.4,0.6,272018552.8,91643.10103,,,,,301.8,268.2,335.4,5.7,272018552.8,91643.10103,91259.0,87368.0,95150.0,2.2,272018552.8,91643.10103,4.742105263157896,-1.3333333333333286,-608.6973684210534,-38.165789473684185
52,csa_city_palmdale,Incorporated City,City of Palmdale,74.4,69.7,79.1,3.2,small area estimate,2962799243.0,682806.0602,77.5,76.7,78.3,0.5,2962799243.0,682806.0602,,,,,359.2,330.6,387.7,4.1,2962799243.0,682806.0602,78414.0,75520.0,81308.0,1.9,2962799243.0,682806.0602,-12.457894736842093,-3.2333333333333343,-13453.697368421053,19.234210526315792
53,csa_city_paramount,Incorporated City,City of Paramount,71.1,64.6,77.6,4.7,small area estimate,134398499.3,67994.94596,79.0,77.6,80.5,0.9,134398499.3,67994.94596,,,,,436.0,380.2,491.8,6.5,134398499.3,67994.94596,67197.0,61358.0,73036.0,4.4,134398499.3,67994.94596,-15.757894736842104,-1.7333333333333343,-24670.697368421053,96.0342105263158
54,csa_city_pasadena,Incorporated City,City of Pasadena,,,,,,644879965.9,282711.3609,,,,,644879965.9,282711.3609,,,,,,,,,644879965.9,282711.3609,,,,,644879965.9,282711.3609,,,,
55,csa_city_pico_rivera,Incorporated City,City of Pico Rivera,92.2,90.1,94.4,1.2,small area estimate,248180730.5,95367.70098,79.6,78.4,80.8,0.8,248180730.5,95367.70098,,,,,304.3,260.9,347.7,7.3,248180730.5,95367.70098,82539.0,76624.0,88454.0,3.7,248180730.5,95367.70098,5.3421052631579045,-1.13333333333334,-9328.697368421053,-35.665789473684185
56,csa_city_redondo_beach,Incorporated City,City of Redondo Beach,95.2,93.4,96.9,0.9,small area estimate,173842324.0,103678.6835,83.7,82.5,84.9,0.7,173842324.0,103678.6835,,,,,290.0,250.5,329.4,6.9,173842324.0,103678.6835,134033.0,126386.0,141680.0,2.9,173842324.0,103678.6835,8.342105263157904,2.9666666666666686,42165.30263157895,-49.9657894736842
57,csa_city_rosemead,Incorporated City,City of Rosemead,93.9,91.5,96.2,1.3,small area estimate,144217751.4,94495.08684,81.3,80.0,82.7,0.8,144217751.4,94495.08684,,,,,335.5,285.3,385.7,7.6,144217751.4,94495.08684,70073.0,63638.0,76508.0,4.7,144217751.4,94495.08684,7.042105263157907,0.5666666666666629,-21794.697368421053,-4.465789473684197
